department,location
Nephrology,"Building A, Floor 1, Wing West"
Gastroenterology,"Building A, Floor 2, Wing South"
Radiology,"Building A, Floor 3, Wing North"
Ophthalmology,"Building A, Floor 3, Wing West"
Cardiology,"Building A, Floor 4, Wing East"
Psychiatry,"Building A, Floor 4, Wing West"
Hematology,"Building A, Floor 5, Wing West"
Infectious Diseases,"Building B, Floor 2, Wing East"
Anesthesiology,"Building B, Floor 2, Wing North"
Emergency,"Building B, Floor 2, Wing South"
Support,"Building B, Floor 3, Wing North"
Neurology,"Building B, Floor 4, Wing North"
IT,"Building B, Floor 5, Wing East"
Dermatology,"Building B, Floor 5, Wing North"
Orthopedics,"Building B, Ground Floor, Wing East"
Rehabilitation,"Building B, Ground Floor, Wing South"
Geriatrics,"Building C, Floor 1, Wing East"
Pediatrics,"Building C, Floor 2, Wing North"
Intensive Care Unit,"Building C, Floor 2, Wing South"
Bariatric Surgery,"Building C, Floor 3, Wing West"
Endocrinology,"Building C, Floor 4, Wing East"
Neurosurgery,"Building C, Floor 5, Wing South"
Internal Medicine,"Building C, Ground Floor, Wing North"
Reconstructive Surgery,"Building D, Floor 1, Wing South"
Cardiothoracic Surgery,"Building D, Floor 1, Wing West"
Oncology,"Building D, Floor 2, Wing East"
Trauma Center,"Building D, Floor 2, Wing South"
Pathology,"Building D, Floor 3, Wing South"
Gynecology,"Building D, Floor 4, Wing South"
Otolaryngology,"Building D, Floor 5, Wing West"
