med_id,medicine_name,type,months_to_expiry,unit_cost
F74V467869,Atcillin,Diuretic,12,80
S0C339434,Watervir,Antibiotic,12,500
V20Q699021,Avoidvir,Antihistamine,12,105
G88J77491,Afterzepam,Immunosuppressant,12,60
V34E712510,Reasonstatin,Antidepressant,12,50
N32Z47583,Playervir,Steroid,12,300
Y94X587014,Withoutol,Antipyretic,12,150
K78N229140,Internationalstatin,Cardiovascular,12,70
M1D613025,Policystatin,Antidepressant,12,600
B62D577498,Patterncillin,Respiratory,12,100
O73T30219,Mentionzepam,Vaccine,12,300
U76X424808,Riskstatin,Steroid,12,550
H8B963476,Choiceol,Antipsychotic,12,50
N13W799827,Servicecillin,Diuretic,12,300
H43L260809,Pullvir,Antidepressant,12,550
J58Y630872,Storyzepam,Antibiotic,12,400
F34Q646097,Receivevir,Antiviral,12,600
B60C938598,Courtzepam,Antipsychotic,12,300
R20J514421,Windzepam,MuscleRelaxant,12,300
P14Q257502,Waitcillin,Diuretic,12,250
A62Q707587,Specificol,Anti-inflammatory,12,85
W4T418264,Thanstatin,Diuretic,12,400
O53R731540,Nextin,Vaccine,12,200
E17E777184,Thusvir,Cardiovascular,12,55
M53M425920,Describecillin,Anticonvulsant,12,90
B11W538643,Outvir,Steroid,12,450
C76H801170,Recentol,Anticoagulant,12,60
K41Q718129,Passzepam,Diuretic,12,500
Q30G434836,Receivevir,Diuretic,12,120
E5A46512,Secondvir,Anticonvulsant,12,105
J43S483861,Seatstatin,Vitamin,12,70
D3O743469,Oncezepam,Analgesic,12,300
L53U989068,Thusstatin,MuscleRelaxant,12,300
M90M542498,Networkin,Vaccine,12,550
V7I81730,Reducevir,Anticonvulsant,12,75
R10C218362,Artvir,Steroid,12,90
B75O722108,Mindin,Antibiotic,12,80
A84K548114,Patternxone,Antifungal,12,50
D88B652412,Evidencestatin,Antipyretic,12,200
T65J13478,Hairzepam,Anti-inflammatory,12,95
A98W386419,Figureol,Steroid,12,550
K36A672024,Barin,Antihistamine,12,95
T0J281879,Ownol,Vitamin,12,450
M88Z815999,Thenol,Antifungal,12,300
G15D743257,Colorzepam,Antihistamine,12,95
X73G975373,Havexone,Antihistamine,12,95
M69U970634,Appearol,Respiratory,12,85
M84X533374,Agentxone,MuscleRelaxant,12,250
F98X635742,Theorystatin,Antifungal,12,115
U12R98861,Wouldzepam,Antibiotic,12,110
W52W315220,Securitycillin,Antiviral,12,75
S55U763138,Newsvir,Vaccine,12,200
R59Q61321,Fatherol,Cardiovascular,12,600
V8E601567,Imaginecillin,Diuretic,12,110
L11C147492,Opportunityxone,Antibiotic,12,450
N30F56709,Surevir,Antipyretic,12,70
Z50G611835,Fullstatin,Antipsychotic,12,150
H66B701105,Learnol,Antipsychotic,12,650
V96Z476779,Writein,Vitamin,12,50
L37D664116,Productol,Diuretic,12,50
A96C936329,Ourin,Anti-inflammatory,12,70
J78C10246,Fishin,Analgesic,12,45
N15R273664,Conferencezepam,Antihypertensive,12,95
C23L696855,Headvir,Antipyretic,12,500
I65P683902,Barstatin,Anti-inflammatory,12,300
A73B23411,Onlyin,Vitamin,12,600
X67I577685,Thingvir,Antipyretic,12,600
T74D783629,Continueol,Anti-inflammatory,12,130
E38B620290,Abovecillin,Antifungal,12,600
T55Y895099,Writezepam,Vaccine,12,200
K24K334625,Bestin,MuscleRelaxant,12,500
Z13F849830,Offol,Vaccine,12,550
G98R483190,Goalxone,MuscleRelaxant,12,50
J71H869476,Regionzepam,Respiratory,12,105
V26S291755,Capitalin,Antihistamine,12,400
N84J95802,Shoulderol,Anticonvulsant,12,650
P46I983206,Pricezepam,Vaccine,12,600
Z22T345578,Democraticzepam,Antipyretic,12,80
X39W350106,Authorol,Diuretic,12,135
