department,total_staff,avg_salary,total_payroll
Reconstructive Surgery,212,86075.47169811321,18248000
Infectious Diseases,203,84857.14285714286,17226000
Neurology,202,85876.23762376238,17347000
Dermatology,201,83278.60696517413,16739000
IT,199,83065.32663316582,16530000
Hematology,195,81246.15384615384,15843000
Bariatric Surgery,193,82642.48704663213,15950000
Geriatrics,192,83421.875,16017000
Cardiology,191,82790.57591623037,15813000
Nephrology,190,84031.57894736843,15966000
Psychiatry,189,84915.34391534391,16049000
Neurosurgery,189,82349.20634920635,15564000
Pathology,187,83561.49732620321,15626000
Gynecology,186,85086.02150537634,15826000
Emergency,186,84091.39784946236,15641000
Radiology,184,83760.86956521739,15412000
Orthopedics,181,82563.53591160222,14944000
Support,179,84016.75977653632,15039000
Trauma Center,176,86187.5,15169000
Otolaryngology,176,82954.54545454546,14600000
Cardiothoracic Surgery,175,85468.57142857143,14957000
Ophthalmology,173,85387.28323699422,14772000
Endocrinology,173,85693.64161849712,14825000
Intensive Care Unit,172,82953.48837209302,14268000
Oncology,171,86707.60233918129,14827000
Gastroenterology,169,87248.52071005917,14745000
Internal Medicine,166,82927.7108433735,13766000
Rehabilitation,163,86779.14110429448,14145000
Pediatrics,162,81086.41975308642,13136000
Anesthesiology,161,83391.30434782608,13426000
